reference_number,first_name,middle_name,last_name,gender,date_of_birth,civil_status,religion,sss_number,tin_number,property_area,residency_and_citizenship,contact_number,email_address,facebook_account,no_and_street,barangay,municipality,province,resident_status,length_of_stay,permanent_address,provincial_address,parents_address,education,course,school_last_attended,year_graduated,source_of_funds,employer_business_name,employer_contact_number,position,employment_status,monthly_net_income,employer_business_address,other_income,other_monthly_income,food_and_groceries,electric_and_water,education_and_misc,other_expense,make_brand,series,year_model,variant,color,plate_no,engine_no,chassis_no,transmission,fuel,dealer_name,dealer_address,dealer_contact_number,loan_type,estimated_vehicle_value,down_payment_percentage,loan_amount_term,loan_purpose,marketing_source,sales_representative
250326123153,Christina,Glinoga,TOLENTINO,F,1984-01-29,Y,Baptist,213-54-8878,987-65-4473,Urban,Resident Filipino Citizen,9123456941,user153@example.com,fb.com/user153,593 Citrine Way,Barangay Sto. Nino,Malabon City,Metro Manila,Residence,1_to_3_years,"789 Jasmine St., Marikina City",654 Provincial Rd.,"147 Parent St., Muntinlupa",Graduate,Sociology,University of the Philippines,2021,Salary,Premier Construction,0917-123-4719,Software Engineer,Employee,65789,"321 Builder St., Manila",None,0,2500,2000,1000,60289,Subaru,XV,2022,2.0i,Orange,JKL6881,D4HB-123548,KNAE35A22L123548,Automatic,Gas,Subaru North EDSA,"456 Subaru Rd., Quezon City",0917-012-3456,New,187500,0.2,12,,,
250326123154,Christine,CASALLO,Encarnacion,F,1972-05-31,Y,Roman Catholic,213-54-8879,987-65-4474,Urban,Resident Filipino Citizen,9123456942,user154@example.com,fb.com/user154,741 Coral Ct.,Barangay Pasong Tamo,Quezon City,Metro Manila,Residence,1_to_3_years,"321 Lavender St., Marikina City",963 Provincial Rd.,"789 Parent St., Binan",Graduate,Film and Broadcasting,Philippine High School for the Arts,2018,Salary,Quality Service Solutions,0917-123-4720,Clinic Manager,Employee,55640,"654 Service Rd., Taguig",None,0,2500,2000,1000,50140,Suzuki,Ertiga,2020,GA,Red,JKL6882,D4HB-123549,KNAE35A22L123549,Automatic,Gas,Suzuki Alabang,"789 Suzuki St., Alabang",0917-123-4567,New,618750,0.2,24,,,
250326123155,Christopher,Mahusay,Aragon,F,1973-01-09,N,Iglesia ni Cristo,213-54-8880,987-65-4475,Urban,Resident Filipino Citizen,9123456943,user155@example.com,fb.com/user155,852 Lapis Lazuli Blvd.,Barangay Poblacion,Pasay City,Metro Manila,Residence,1_to_3_years,"456 Cantaloupe Rd., Taguig City",123 Provincial Rd.,"888 Parent St., Quezon City",Graduate,Creative Writing,Mapua University,2019,Income from Business,Green Fields Landscaping,0917-123-4721,Site Engineer,Registered Business,99594,"987 Green St., Pasig",None,0,2500,2000,1000,94094,Ford,Everest,2021,Titanium,Gray,JKL6883,D4HB-123550,KNAE35A22L123550,Automatic,Gas,Ford Manila,"123 Ford St., Manila",0917-345-6789,New,187500,0.2,18,,,
250326123156,Cindy,Dela Cruz,Timbol,M,1965-06-27,N,Muslim,213-54-8881,987-65-4476,Urban,Resident Filipino Citizen,9123456944,user156@example.com,fb.com/user156,321 Turquoise Rd.,Barangay San Miguel,Makati City,Metro Manila,Residence,5_to_10_years,"852 Calamansi St., Pasig City",111 Provincial Rd.,"222 Parent St., Quezon City",Graduate,Theater Arts,University of Santo Tomas,2021,Income from Business,Simple Eats Restaurant,0917-123-4722,Consultant,Registered Business,78102,"159 Food Lane, Quezon City",None,0,2500,2000,1000,72602,Kia,Seltos,2020,EX,Yellow,JKL6884,D4HB-123551,KNAE35A22L123551,Automatic,Gas,Kia Manila,"456 Kia Ave., Manila",0917-456-7890,New,476541.25,0.2,24,,,
250326123157,Claire,Sagulili,Tejada,F,1987-04-25,N,Baptist,213-54-8882,987-65-4477,Urban,Resident Filipino Citizen,9123456945,user157@example.com,fb.com/user157,567 Peridot Cir.,Barangay Marikina,Paranaque City,Metro Manila,Residence,5_to_10_years,"975 Lemon St., Manila City",333 Provincial Rd.,"444 Parent St., Makati City",Graduate,Data Science,University of the Philippines,2020,Salary,Silver Line Technologies,0917-123-4723,Landscape Designer,Employee,54874,"753 Tech St., Makati",None,0,2500,2000,1000,49374,Isuzu,mu-X,2022,LTX,Black,JKL6885,D4HB-123552,KNAE35A22L123552,Automatic,Gas,Isuzu Cebu,"789 Isuzu Rd., Cebu",0917-567-8901,New,250000,0.2,24,,,
250326123158,Clara,Aguilar,Caangay,F,1983-02-11,N,Roman Catholic,213-54-8883,987-65-4478,Semi-Urban,Resident Filipino Citizen,9123456946,user158@example.com,fb.com/user158,748 Agate St.,Barangay Maria Clara,Quezon City,Metro Manila,Residence,5_to_10_years,"123 Lychee St., Quezon City",555 Provincial Rd.,"666 Parent St., Caloocan",Graduate,Architecture,Philippine Normal University,2019,Income from Business,Urban Style Clothing,0917-123-4724,Waitstaff,Registered Business,61250,"963 Fashion St., Manila",None,0,2500,2000,1000,55750,Isuzu,mu-X,2021,L-Edition,Silver,JKL6886,D4HB-123553,KNAE35A22L123553,Automatic,Gas,Isuzu Quezon City,"123 Isuzu Ave., Quezon City",0917-678-9012,New,150000,0.2,24,,,
250326123159,Colin,Caoile,Cipriano,F,1984-06-04,N,Iglesia ni Cristo,213-54-8884,987-65-4479,Urban,Resident Filipino Citizen,9123456947,user159@example.com,fb.com/user159,962 Amber Ave.,Barangay San Lorenzo,Quezon City,Metro Manila,Residence,1_to_3_years,"456 Olive St., Manila City",777 Provincial Rd.,"777 Parent St., Taguig",Graduate,Nutrition,University of the East,2021,Salary,Future Ready Cars,0917-123-4725,Network Engineer,Employee,84350,"321 Auto St., Taguig",None,0,2500,2000,1000,78850,Nissan,Navara,2020,EL,White,JKL6887,D4HB-123554,KNAE35A22L123554,Automatic,Gas,Nissan Alabang,"456 Nissan Rd., Alabang",0917-789-0123,New,128154,0.2,36,,,
250326123160,Connor,Mercado,BEJUNA,M,1983-03-22,Y,Muslim,213-54-8885,987-65-4480,Urban,Resident Filipino Citizen,9123456948,user160@example.com,fb.com/user160,135 Jasper Blvd.,Barangay Pineda,Pasay City,Metro Manila,Residence,5_to_10_years,"789 Peach St., Quezon City",888 Provincial Rd.,"888 Parent St., Navotas",Graduate,Occupational Therapy,Ateneo de Manila University,2018,Salary,Youth Sports Academy,0917-123-4726,Store Assistant,Employee,80904,"654 Sport Ave., Pasig",None,0,2500,2000,1000,75404,Hyundai,Accent,2022,GL,Blue,JKL6888,D4HB-123555,KNAE35A22L123555,Automatic,Gas,Hyundai North EDSA,"789 Hyundai Rd., Quezon City",0917-890-1234,New,187500,0.2,24,,,
250326123161,Courtney,Alarba,NASAYAO,M,1984-09-19,Y,Baptist,213-54-8886,987-65-4481,Urban,Resident Filipino Citizen,9123456949,user161@example.com,fb.com/user161,427 Beryl Dr.,Barangay Sto. Nino,San Juan City,Metro Manila,Residence,5_to_10_years,"159 Grapefruit Rd., Pasay City",999 Provincial Rd.,"999 Parent St., Manila",Graduate,Computer Science,San Beda University,2015,Salary,Happy Tails Veterinary Clinic,0917-123-4727,Sales Associate,Employee,49234,"123 Animal Rd., Quezon City",None,0,2500,2000,1000,43734,Toyota,Hilux,2020,E,Black,JKL6889,D4HB-123556,KNAE35A22L123556,Automatic,Gas,Toyota Makati,"321 Toyota Ave., Makati",0917-901-2345,New,187500,0.2,12,,,
250326123162,Crystal,Masangkay,Otico,F,1974-05-21,Y,Roman Catholic,213-54-8887,987-65-4482,Urban,Resident Filipino Citizen,9123456950,user162@example.com,fb.com/user162,132 Cherry Blossom St.,Barangay Bagong Pag-asa,Marikina City,Metro Manila,Residence,1_to_3_years,"753 Papaya St., San Juan City",100 Provincial Rd.,"900 Parent St., Makati",Graduate,Business Administration,Laguna College,2014,Salary,Bright Future Learning Center,0917-123-4728,Coach,Employee,56702,"456 Education St., Manila",None,0,2500,2000,1000,51202,Ford,EcoSport,2021,Trend,Red,JKL6890,D4HB-123557,KNAE35A22L123557,Automatic,Gas,Ford Global City,"654 Ford Blvd., BGC",0917-012-3456,New,500000,0.2,24,,,
250326123163,Curtis,Millan,Ruelo,F,1966-02-09,N,Iglesia ni Cristo,213-54-8888,987-65-4483,Urban,Resident Filipino Citizen,9123456951,user163@example.com,fb.com/user163,245 Coconut Grove Ave.,Barangay San Isidro,Manila City,Metro Manila,Residence,5_to_10_years,"258 Watermelon St., Marikina City",200 Provincial Rd.,"800 Parent St., Taguig",Graduate,Accountancy,De La Salle University,2013,Salary,Prime Health Insurance,0917-123-4729,Vet Technician,Employee,66123,"789 Insurance Ave., Taguig",None,0,2500,2000,1000,60623,Mitsubishi,Adventure,2020,GLX,Yellow,JKL6891,D4HB-123558,KNAE35A22L123558,Automatic,Gas,Mitsubishi Manila,"987 Mitsubishi Rd., Manila",0917-123-4567,New,275000,0.2,12,,,
250326123164,Cynthia,Sude,Lolo,M,1990-07-29,N,Muslim,213-54-8889,987-65-4484,Urban,Resident Filipino Citizen,9123456952,user164@example.com,fb.com/user164,786 Palm Tree Blvd.,Barangay San Lorenzo,Taguig City,Metro Manila,Residence,1_to_3_years,"753 Pomegranate St., Manila City",300 Provincial Rd.,"700 Parent St., Pasig",Graduate,Hospitality Management,Map?a University,2012,Salary,Global Marketing Solutions,0917-123-4730,Teacher,Employee,73992,"321 Market St., Makati",None,0,2500,2000,1000,68492,Kia,Picanto,2021,EX,Green,JKL6892,D4HB-123559,KNAE35A22L123559,Automatic,Gas,Kia Pasig,"123 Kia Ave., Pasig",0917-234-5678,New,127094,0.2,36,,,
250326123165,Daisy,Doñare,Dino,M,1980-12-30,Y,Baptist,213-54-8890,987-65-4485,Urban,Resident Filipino Citizen,9123456953,user165@example.com,fb.com/user165,908 Maple Leaf Rd.,Barangay Fort Bonifacio,Malabon City,Metro Manila,Residence,5_to_10_years,"369 Avocado St., Taguig City",400 Provincial Rd.,"600 Parent St., Caloocan",Graduate,Information Technology,University of the Philippines,2011,Salary,Westside Fitness Studio,0917-123-4731,Claims Adjuster,Employee,92875,"654 Fit Ave., Quezon City",None,0,2500,2000,1000,87375,Honda,HR-V,2020,S,Gray,JKL6893,D4HB-123560,KNAE35A22L123560,Automatic,Gas,Honda Manila,"456 Honda St., Manila",0917-345-6789,New,125000,0.2,24,,,
250326123166,Dakota,Rivera,Rodriguez,M,1990-06-04,N,Roman Catholic,213-54-8891,987-65-4486,Urban,Resident Filipino Citizen,9123456954,user166@example.com,fb.com/user166,112 Oakwood Ln.,Barangay Sto. Nino,Quezon City,Metro Manila,Residence,5_to_10_years,"321 Zucchini St., Taguig City",123 Provincial Rd.,"111 Parent St., Muntinlupa",Graduate,Civil Engineering,University of Santo Tomas,2010,Income from Business,Silver Linings Counseling,0917-123-4732,Marketing Specialist,Registered Business,60437,"987 Mind St., Manila",None,0,2500,2000,1000,54937,Subaru,Forester,2022,2.0i,Silver,JKL6894,D4HB-123561,KNAE35A22L123561,Automatic,Gas,Subaru North EDSA,"789 Subaru Rd., Quezon City",0917-456-7890,New,212500,0.2,24,,,
250326123167,Damon,Batoon,Magbanua,F,1978-08-15,N,Iglesia ni Cristo,213-54-8892,987-65-4487,Urban,Resident Filipino Citizen,9123456955,user167@example.com,fb.com/user167,350 Pinecone Cir.,Barangay Pasong Tamo,San Juan City,Metro Manila,Residence,1_to_3_years,"369 Soursop St., Quezon City",555 Provincial Rd.,"444 Parent St., Manila",Graduate,Public Administration,Far Eastern University,2009,Salary,Urban Garden Supplies,0917-123-4733,Personal Trainer,Employee,68540,"123 Greenhouse Ave., Makati",None,0,2500,2000,1000,63040,Chevrolet,Tracker,2021,LT,Blue,JKL6895,D4HB-123562,KNAE35A22L123562,Automatic,Gas,Chevrolet Alabang,"321 Chevrolet Rd., Alabang",0917-567-8901,New,312500,0.2,18,,,
250326123168,Daniel,Fortades,Gardiola,F,1962-12-14,Y,Muslim,213-54-8893,987-65-4488,Urban,Resident Filipino Citizen,9123456956,user168@example.com,fb.com/user168,667 Willow Creek Dr.,Barangay Balingasa,Taguig City,Metro Manila,Residence,1_to_3_years,"258 Guava St., San Juan City",123 Provincial Rd.,"123 Parent St., Makati",Graduate,Psychology,National University,2008,Salary,Artisan Bread Co.,0917-123-4734,Therapist,Employee,45890,"456 Bakery St., Pasig",None,0,2500,2000,1000,40390,Ford,Everest,2020,Titanium,Black,JKL6896,D4HB-123563,KNAE35A22L123563,Automatic,Gas,Ford Manila,"654 Ford Ave., Manila",0917-678-9012,New,456433.75,0.2,12,,,
250326123169,Danielle,Prado,Jamosa,M,1969-04-09,Y,Baptist,213-54-8894,987-65-4489,Urban,Resident Filipino Citizen,9123456957,user169@example.com,fb.com/user169,774 Cedar Ridge Way,Barangay La Paz,Manila City,Metro Manila,Residence,1_to_3_years,"147 Moringa St., Taguig City",789 Provincial Rd.,"456 Parent St., Pasay",Graduate,Marketing,University of the East,2007,Salary,Eco-Friendly Products,0917-123-4735,Sales Manager,Employee,85227,"789 Eco Rd., Quezon City",None,0,2500,2000,1000,79727,Nissan,Terra,2022,VL,Red,JKL6897,D4HB-123564,KNAE35A22L123564,Automatic,Gas,Nissan Quezon City,"987 Nissan Rd., Quezon City",0917-789-0123,New,125000,0.2,12,,,
250326123170,Daphne,Madriaga,Mengote,F,1983-12-05,Y,Roman Catholic,213-54-8895,987-65-4490,Urban,Resident Filipino Citizen,9123456958,user170@example.com,fb.com/user170,989 Birchwood Ct.,Barangay Tejeros,Quezon City,Metro Manila,Residence,5_to_10_years,"258 Tamarind Rd., Manila City",654 Provincial Rd.,"789 Parent St., Caloocan",Graduate,Architecture,University of Santo Tomas,2006,Salary,Family Fitness Center,0917-123-4736,Baker,Employee,97003,"321 Fitness Rd., Taguig",None,0,2500,2000,1000,91503,Mitsubishi,Montero Sport,2021,GT,Silver,JKL6898,D4HB-123565,KNAE35A22L123565,Automatic,Gas,Mitsubishi Pasig,"123 Mitsubishi Ave., Pasig",0917-890-1234,New,206250,0.2,24,,,
250326123171,David,Dimaano,Tacardon,F,1995-05-28,N,Iglesia ni Cristo,213-54-8896,987-65-4491,Semi-Urban,Resident Filipino Citizen,9123456959,user171@example.com,fb.com/user171,220 Aspen Valley St.,Barangay Poblacion,Makati City,Metro Manila,Residence,1_to_3_years,"369 Citrus Ave., Quezon City",432 Provincial Rd.,"234 Parent St., Malabon",Graduate,Nursing,Philippine Normal University,2005,Income from Business,Joyful Learning Academy,0917-123-4737,Product Manager,Registered Business,52112,"654 Education Ave., Manila",None,0,2500,2000,1000,46612,Hyundai,Staria,2022,GLS,White,JKL6899,D4HB-123566,KNAE35A22L123566,Automatic,Gas,Hyundai Alabang,"456 Hyundai St., Alabang",0917-901-2345,New,275000,0.2,24,,,
250326123172,Debbie,Yalung,Loja,M,1975-10-29,Y,Muslim,213-54-8897,987-65-4492,Urban,Resident Filipino Citizen,9123456960,user172@example.com,fb.com/user172,543 Redwood Pines Ave.,Barangay Santo Domingo,Taguig City,Metro Manila,Residence,1_to_3_years,"789 Starfruit St., Makati City",321 Provincial Rd.,"567 Parent St., Navotas",Graduate,Pharmacy,Ateneo de Manila University,2004,Income from Business,Bright Minds Tutoring Center,0917-123-4738,Gym Instructor,Registered Business,48567,"987 Tutor St., Pasig",None,0,2500,2000,1000,43067,Toyota,Innova,2020,G,Blue,JKL6900,D4HB-123567,KNAE35A22L123567,Automatic,Gas,Toyota Quezon City,"789 Toyota Rd., Quezon City",0917-012-3456,New,187500,0.2,18,,,
250326123173,Deborah,Matore,Barquilla,M,1980-01-18,N,Baptist,213-54-8898,987-65-4493,Urban,Resident Filipino Citizen,9123456961,user173@example.com,fb.com/user173,315 Spruce Hollow Blvd.,Barangay San Rafael,Manila City,Metro Manila,Residence,1_to_3_years,"654 Mulberry St., Quezon City",758 Provincial Rd.,"678 Parent St., San Juan",Graduate,Education,University of the Philippines,2003,Salary,Premier Real Estate,0917-123-4739,Teacher,Employee,81335,"321 Realty Blvd., Makati",None,0,2500,2000,1000,75835,Subaru,XV,2021,2.0i,Green,JKL6901,D4HB-123568,KNAE35A22L123568,Automatic,Gas,Subaru Makati,"321 Subaru Rd., Makati",0917-123-4567,New,260000,0.2,18,,,
250326123174,Dennis,Banquiles,Loc,F,1988-01-10,Y,Roman Catholic,213-54-8899,987-65-4494,Urban,Resident Filipino Citizen,9123456962,user174@example.com,fb.com/user174,444 Magnolia Blossom Rd.,Barangay San Lorenzo,Quezon City,Metro Manila,Residence,5_to_10_years,"321 Cassava St., San Juan City",456 Provincial Rd.,"234 Parent St., Taguig",Graduate,Journalism,Technological Institute of the Philippines,2002,Salary,Fresh Start Cleaners,0917-123-4740,Tutor,Employee,69994,"456 Clean St., Quezon City",None,0,2500,2000,1000,64494,Nissan,Navara,2020,EL,Black,JKL6902,D4HB-123569,KNAE35A22L123569,Automatic,Gas,Nissan Manila,"654 Nissan Ave., Manila",0917-234-5678,New,642845,0.2,36,,,
250326123175,Derek,Roca,Castaños,F,1977-10-06,Y,Iglesia ni Cristo,213-54-8900,987-65-4495,Rural,Resident Filipino Citizen,9123456963,user175@example.com,fb.com/user175,876 Camellia Gardens Ln.,Barangay Fort Bonifacio,San Juan City,Metro Manila,Residence,5_to_10_years,"852 Jackfruit St., Mandaluyong City",987 Provincial Rd.,"123 Parent St., Pasay",Graduate,Fine Arts,University of the Philippines,2001,Salary,Starline Logistics,0917-123-4741,Real Estate Agent,Employee,83469,"789 Cargo Rd., Manila",None,0,2500,2000,1000,77969,Ford,Ranger,2021,Wildtrak,Red,JKL6903,D4HB-123570,KNAE35A22L123570,Automatic,Gas,Ford Alabang,"987 Ford St., Alabang",0917-345-6789,New,125000,0.2,12,,,
250326123176,Diana,Biclar,Delfin,M,1970-10-31,N,Muslim,213-54-8901,987-65-4496,Urban,Resident Filipino Citizen,9123456964,user176@example.com,fb.com/user176,192 Dahlia Bloom Cir.,Barangay Holy Spirit,Marikina City,Metro Manila,Residence,5_to_10_years,"963 Banana St., Malabon City",654 Provincial Rd.,"789 Parent St., Muntinlupa",Graduate,Engineering Management,University of the East,2000,Salary,Harmony Yoga Studio,0917-123-4742,Cleaner,Employee,40872,"321 Zen St., Taguig",None,0,2500,2000,1000,35372,Kia,Seltos,2022,EX,Yellow,JKL6904,D4HB-123571,KNAE35A22L123571,Automatic,Gas,Kia Manila,"123 Kia St., Manila",0917-456-7890,New,187500,0.2,12,,,
250326123177,Diane,Rasalan,Hista,M,1980-06-12,Y,Baptist,213-54-8902,987-65-4497,Urban,Resident Filipino Citizen,9123456965,user177@example.com,fb.com/user177,657 Tulip Meadow Dr.,Barangay Poblacion,Valenzuela City,Metro Manila,Residence,less_than_6_months,"456 Cantaloupe Rd., Taguig City",123 Provincial Rd.,"888 Parent St., Quezon City",Graduate,Philosophy,University of Santo Tomas,1999,Salary,Golden Age Fitness,0917-123-4743,Logistics Manager,Employee,72545,"654 Workout Ave., Makati",None,0,2500,2000,1000,67045,Chevrolet,Trailblazer,2021,LT,Silver,JKL6905,D4HB-123572,KNAE35A22L123572,Automatic,Gas,Chevrolet Global City,"456 Chevy Rd., BGC",0917-567-8901,New,832050.625,0.2,24,,,
250326123178,Dominic,Roquero,Padin,F,1993-05-29,N,Roman Catholic,213-54-8903,987-65-4498,Urban,Resident Filipino Citizen,9123456966,user178@example.com,fb.com/user178,321 Orchid Breeze Way,Barangay La Paz,Valenzuela City,Metro Manila,Residence,1_to_3_years,"159 Passionfruit St., Mandaluyong City",321 Provincial Rd.,"111 Parent St., Pasig",Graduate,Social Work,De La Salle University,2015,Salary,Happy Heights School,0917-123-4744,Yoga Instructor,Employee,91208,"987 Learning St., Manila",None,0,2500,2000,1000,85708,Mitsubishi,L300,2020,FB,White,JKL6906,D4HB-123573,KNAE35A22L123573,Automatic,Gas,Mitsubishi Muntinlupa,"789 Transport St., Muntinlupa",0917-678-9012,New,561250,0.2,24,,,
250326123179,Donald,Lorenzana,VELARDE,F,1962-12-14,Y,Iglesia ni Cristo,213-54-8904,987-65-4499,Urban,Resident Filipino Citizen,9123456967,user179@example.com,fb.com/user179,485 Rose Petal Ct.,Barangay San Antonio,Valenzuela City,Metro Manila,Residence,1_to_3_years,"789 Starfruit Ave., Marikina City",654 Provincial Rd.,"222 Parent St., Caloocan",Graduate,Biology,University of the East,2014,Salary,Urban Eats Restaurant,0917-123-4745,Personal Trainer,Employee,57431,"123 Dine Rd., Quezon City",None,0,2500,2000,1000,51931,Toyota,Hilux,2022,E,Black,JKL6907,D4HB-123574,KNAE35A22L123574,Automatic,Gas,Toyota Caloocan,"321 Toyota Blvd., Caloocan",0917-789-0123,New,350000,0.2,24,,,
250326123180,Donna,Rico,Dungca,M,1998-02-15,N,Muslim,213-54-8905,987-65-4500,Urban,Resident Filipino Citizen,9123456968,user180@example.com,fb.com/user180,789 Sunflower Fields St.,Barangay Fort Bonifacio,Valenzuela City,Metro Manila,Residence,1_to_3_years,"321 Raspberry St., Pasay City",987 Provincial Rd.,"333 Parent St., Manila",Graduate,Mathematics,Ateneo de Manila University,2013,Income from Business,Sunshine Daycare Center,0917-123-4746,Principal,Registered Business,96128,"456 Care Ave., Pasig",None,0,2500,2000,1000,90628,Hyundai,Accent,2021,GL,Blue,JKL6908,D4HB-123575,KNAE35A22L123575,Automatic,Gas,Hyundai Pasig,"654 Hyundai Ave., Pasig",0917-890-1234,New,475000,0.2,36,,,
250326123181,Doris,Mamaril,Tesorero,M,1986-03-26,N,Baptist,213-54-8906,987-65-4501,Urban,Resident Filipino Citizen,9123456969,user181@example.com,fb.com/user181,902 Daisy Hill Ave.,Barangay Poblacion,Valenzuela City,Metro Manila,Residence,5_to_10_years,"654 Blackcurrant St., Makati City",543 Provincial Rd.,"444 Parent St., Taguig",Graduate,Political Science,Mapua University,2012,Salary,Breakthrough Technologies,0917-123-4747,Chef,Employee,44370,"789 Digital Rd., Makati",None,0,2500,2000,1000,38870,Ford,EcoSport,2021,Trend,Gray,JKL6909,D4HB-123576,KNAE35A22L123576,Automatic,Gas,Ford Manila,"789 Ford Blvd., Manila",0917-901-2345,New,53530,0.2,12,,,
250326123182,Dylan,PAMENE,Obligado,F,1994-05-11,Y,Roman Catholic,213-54-8907,987-65-4502,Urban,Resident Filipino Citizen,9123456970,user182@example.com,fb.com/user182,654 Lavender Breeze Blvd.,Barangay Bagong Pag-asa,Valenzuela City,Metro Manila,Residence,1_to_3_years,"852 Blueberry Rd., San Juan City",678 Provincial Rd.,"555 Parent St., Navotas",Graduate,Hospitality Management,STI Novaliches,2011,Salary,Apex Consulting Services,0917-123-4748,Daycare Supervisor,Employee,76284,"321 Consultant Rd., Manila",None,0,2500,2000,1000,70784,Subaru,Forester,2022,2.0i,Silver,JKL6910,D4HB-123577,KNAE35A22L123577,Automatic,Gas,Subaru Alabang,"321 Subaru St., Alabang",0917-012-3456,New,280353.75,0.2,24,,,
250326123183,Edward,Barrun,Cerezo,F,1981-10-06,Y,Iglesia ni Cristo,213-54-8908,987-65-4503,Semi-Urban,Resident Filipino Citizen,9123456971,user183@example.com,fb.com/user183,783 Violet Mist Rd.,Barangay Santo NiNo,Valenzuela City,Metro Manila,Residence,1_to_3_years,"963 Peach St., Quezon City",789 Provincial Rd.,"666 Parent St., Pasig",Graduate,Computer Engineering,NU Fairview,2010,Salary,Happy Trails Pet Care,0917-123-4749,Software Developer,Employee,50642,"654 Paw St., Pasig",None,0,2500,2000,1000,45142,Kia,Sportage,2022,EX,Red,JKL6911,D4HB-123578,KNAE35A22L123578,Automatic,Gas,Kia Manila,"456 Kia Rd., Manila",0917-123-4567,New,312500,0.2,36,,,
250326123184,Eleanor,Claveria,Pelicano,F,1991-06-15,Y,Muslim,213-54-8909,987-65-4504,Urban,Resident Filipino Citizen,9123456972,user184@example.com,fb.com/user184,267 Jasmine Vine Ln.,Barangay Kalayaan,Valenzuela City,Metro Manila,Residence,1_to_3_years,"135 Pine Rd., Quezon City",75 Provincial Rd.,"478 Parent St., Manila",Graduate,Computer Science,Electron college,2010,Salary,Tech Corp,0917-123-4750,Business Consultant,Employee,63880,Tech Building Sample City,None,0,2500,2000,1000,58380,Toyota,Vios,2023,1.5 G,Red,JKL6912,D4HB-123579,KNAE35A22L123579,Automatic,Gas,ABC Motors,123 Dealer St Sample City,02-987-6543,New,462500,0.2,24,,,
250326123185,Elijah,Delos Santos,Boborol,F,1986-09-30,Y,Baptist,213-54-8910,987-65-4505,Urban,Resident Filipino Citizen,9123456973,user185@example.com,fb.com/user185,589 Marigold Springs Cir.,Barangay Sta. Cruz,Valenzuela City,Metro Manila,Residence,5_to_10_years,"852 Palm St., Makati City",951 Provincial Rd.,"159 Parent St., Pasay",Graduate,Information Technology,FEU Manila,2014,Salary,Google,0917-123-4751,Software Developer,Employee,93105,Google Bldg. Makati City,None,0,2500,2000,1000,87605,Toyota,Wigo,2025,1.5 G,Black,JKL6913,D4HB-123580,KNAE35A22L123580,Automatic,Gas,Locar Motors ,56 Sampaguita Quezon City,02-890-3254,New,103482.5,0.2,36,,,
250326123186,Eliza,BANDALAN,Cabico,F,1958-02-01,Y,Roman Catholic,213-54-8911,987-65-4506,Semi-Urban,Resident Filipino Citizen,9123456974,user186@example.com,fb.com/user186,473 Azalea Grove Dr.,Barangay San Antonio,Valenzuela City,Metro Manila,Residence,1_to_3_years,"246 Coconut St., Makati City",258 Provincial Rd.,"753 Parent St., Taguig",Graduate,Computer Engineering,NU MOA,2015,Income from Business,Ericson,0917-123-4752,Principal,Registered Business,66709,24 Nueva Ecija St Taguig City,None,0,2500,2000,1000,61209,Toyota,Vios,2022,1.5 G,White,JKL6914,D4HB-123581,KNAE35A22L123581,Automatic,Gas,Rolly's Cars,62 Prada St Pasay City,02-673-9000,New,112500,0.2,12,,,
250326123187,Elizabeth,Delos Santos,Villa,M,1973-07-03,Y,Iglesia ni Cristo,213-54-8912,987-65-4507,Urban,Resident Filipino Citizen,9123456975,user187@example.com,fb.com/user187,904 Lilac Whisper Way,Barangay Longos,Valenzuela City,Metro Manila,Residence,1_to_3_years,"369 Banana Ave., Taguig City",123 Provincial Rd.,"456 Parent St., Pateros",Graduate,Information System,La Salle Benilde,2013,Salary,Cloudwalk Digital,0917-123-4753,Chef,Employee,41987,11 Bonifacio St Quezon City,None,0,2500,2000,1000,36487,Honda,Civic,2023,RS Turbo,Red,JKL6915,D4HB-123582,KNAE35A22L123582,Automatic,Gas,Coral Cargine,22 Gardo St Quezon City,02-333-2123,New,199416.25,0.2,18,,,
250326123188,Ella,Bercadez,Balbuena,F,1990-07-22,Y,Muslim,213-54-8913,987-65-4508,Urban,Resident Filipino Citizen,9123456976,user188@example.com,fb.com/user188,112 Poppy Bloom Ct.,Barangay Poblacion,Valenzuela City,Metro Manila,Residence,5_to_10_years,"789 Grape St., Quezon City",654 Provincial Rd.,"789 Parent Rd., Mandaluyong",Graduate,Computer Science,UP Diliman,2014,Income from Business,DXC Technology,0917-123-4754,Daycare Supervisor,Registered Business,74405,DXC Bldg Quezon City,None,0,2500,2000,1000,68905,Nissan,Navara,2024,2.5 L,Black,JKL6916,D4HB-123583,KNAE35A22L123583,Automatic,Gas,Car Driealer,12 Garud St Pasig City,02-742-1110,New,126034,0.2,36,,,
250326123189,Emily,Acabo,Diesta,M,1994-05-11,N,Baptist,213-54-8914,987-65-4509,Semi-Urban,Resident Filipino Citizen,9123456977,user189@example.com,fb.com/user189,745 Fernwood St.,Barangay San Miguel,Valenzuela City,Metro Manila,Residence,1_to_3_years,"456 Cherry Blossom Ln., San Juan City",321 Provincial Rd.,"963 Parent St., Navotas",Graduate,Tourism,STI Novaliches,2011,Salary,Cebu Pacific,0917-123-4755,Software Developer,Employee,58362,PITX Paranaque City,None,0,2500,2000,1000,52862,Ford,Ranger,2024,2.0 L,Black,JKL6917,D4HB-123584,KNAE35A22L123584,Automatic,Gas,Dacar's,Golden St Quezon City,02-111-2567,New,187500,0.2,24,,,
